legal_articles,legal_violation_categories,violation_keywords,reason_ai
<<中华人民共和国公司法>>,市场主体与登记治理,ai,违反公司设立登记等公司法规定。
<<中华人民共和国公司法>>第七条第三款,市场主体与登记治理,ai,公司登记虚假信息相关规定。
<<中华人民共和国公司法>>第三十六条,市场主体与登记治理,ai,公司登记事项变更、登记义务相关。
<<中华人民共和国公司法>>第二十五条第一款,市场主体与登记治理,ai,公司设立登记事项违规，属登记问题。
<<中华人民共和国公司法>>第二百一十一条第二款,财税与金融监管,ai,该条款规范公司财务会计行为。
<<中华人民共和国公司法>>第二百零一条,其他,ai,仅给出条号无具体内容，无法判断。
<<公司法>>第二百一十二条第二款,财税与金融监管,ai,公司法该条多涉及账务责任。
<<家居空气净化竹炭 使用说明>>,产品质量与安全,ai,涉及产品说明和使用要求内容。
<<工商行政管理机关行政处罚程序规定>>第十六条、第十七条,其他,ai,仅为程序规定条款，无法细分类型。
<<竹炭座垫 产品功效>>,市场秩序与竞争监管,ai,宣传竹炭座垫功效涉嫌夸大疗效。
《(没收)物品清单》,其他,ai,仅见标题无实质内容可判定。
《(租房)协议书》,建设工程与房地产,ai,与房屋租赁协议内容直接相关。
《*****实施细则（2023年版）》,其他,ai,仅有实施细则标题，无法判断类型。
《***人******政处罚法》第七十二条第一款第(一)项规定可以每日按罚款数额的百分之三加处罚款,其他,ai,仅提及加处罚款规则，无法判断具体领域。
《***人******政处罚法》第二十八条的规定,其他,ai,仅提及处罚法条款，无法细分。
《***人民共和国行政处罚法》第七十二条第一款第(一)项规定可以每日按罚款数额的百分之三加处罚款,其他,ai,仅见加处罚款规则，无法细分领域。
《***人民共和国行政处罚法》第七十二条第一款第（一）项规定可以每日按罚款数额的百分之三加处罚款,其他,ai,仅提及行罚法条款，无具体领域信息。
《***人民共和国行政处罚法》第二十八条的规定,其他,ai,仅引行政处罚法程序性条款，无法细分。
《***公路条例》第五十三条第一款第(三)项的规定,交通运输,ai,属公路领域管理义务违法。
《0.62%四氟甲醚菊酯电热蚊香液》,产品质量与安全,ai,涉及具体产品名称，引发质量监管。
《100102回风巷掘进工作面作业规程》,安全生产,ai,《作业规程》属矿山作业安全管理。
《1020D回采作业规程》,安全生产,ai,《回采作业规程》属矿山安全生产规范。
《1021上下运掘进工作面作业规程》,安全生产,ai,煤矿掘进作业规程，属安全生产管理。
《1026回风巷（炮掘）作业规程》,安全生产,ai,《作业规程》属矿山安全生产管理。
《10503综采工作面作业规程》,安全生产,ai,矿井综采作业规程，属安全生产管理。
《10700回采工作面作业规程》,安全生产,ai,矿井回采作业规程属安全生产管理。
《10709中面作业规程》,安全生产,ai,《作业规程》通常规范作业安全行为。
《10KV及以下变电所设计规范》,建设工程与房地产,ai,《变电所设计规范》属工程设计规范。
《11012采面作业规程》,安全生产,ai,《采面作业规程》属安全生产规范。
《11121回风顺槽掘进工作面第九循环（K0+650.4m-K0+770.4）物探、地质、探放水钻孔资料》,安全生产,ai,矿井掘进物探地质探放水，属生产安全。
《111501复采回风巷掘进作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全。
《1121采煤工作面作业规程》,安全生产,ai,采煤作业规程属矿山安全管理。
《113上05综采工作面作业规程》,安全生产,ai,《作业规程》属矿山安全生产管理。
《113下07运顺探放老空水方案设计》,安全生产,ai,矿井探放老空水专项安全技术方案设计。
《11503采煤工作面作业规程》,安全生产,ai,煤矿采煤作业规程属生产安全管理。
《11505综采工作面作业规程》,安全生产,ai,矿山综采作业规程属安全生产管理。
《11602采煤工作面作业规程》,安全生产,ai,矿井采煤作业规程，属安全生产管理。
《1200泄水巷掘进工作面作业规程》,安全生产,ai,《作业规程》属矿山安全生产规范。
《12315消费者投诉举报转办单》,其他,ai,仅有标题无条文内容，无法判断。
《12345热线督办记录单》,其他,ai,《记录单》无具体违法事实描述。
《1303工作面回采作业规程》,安全生产,ai,煤矿回采作业规程，属安全生产管理。
《1305综采工作面作业规程》,安全生产,ai,矿井综采工作面作业规程属安全生产规范。
《1308综放工作面作业规程》,安全生产,ai,《作业规程》属矿山安全生产规范。
《1319综放工作面作业规程》,安全生产,ai,矿山作业规程属生产安全管理。
《132621(外)综采工作面回采作业规程》,安全生产,ai,矿山作业规程属生产安全管理规范。
《1345东翼边界石门揭18煤专项防突设计》,安全生产,ai,煤矿专项防突安全设计相关规定。
《1404回风巷掘进工作面作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《15242上顺槽掘进工作面煤与瓦斯突出事故逃生、救援演习实施过程》,安全生产,ai,涉及煤矿瓦斯事故逃生救援演习。
《1545风巷断面支护图》,建设工程与房地产,ai,涉及巷道支护工程设计图纸相关。
《154户拟吊销企业名单》,市场主体与登记治理,ai,拟吊销企业多因长期停业未经营。
《15G367-1》,建设工程与房地产,ai,“15G367-1”系建筑结构施工图集规范。
《16G101-1》,建设工程与房地产,ai,16G101-1为建筑结构施工规范图集。
《172402运料石门掘进工作面作业规程》,安全生产,ai,矿山作业规程，属生产安全管理。
《172404综放工作面回采作业规程》,安全生产,ai,《作业规程》属矿山安全生产规范。
《174401里综采工作面回采作业规程》,安全生产,ai,矿山作业规程，属生产安全管理。
《1905回采工作面作业规程》,安全生产,ai,矿井回采作业规程，属生产安全管理。
《2005中国泵阀之都》,其他,ai,仅见书名无内容，无法细分判断。
《2005中国泵阀博览》,其他,ai,《2005中国泵阀博览》内容过于笼统。
《2008北京商品合同》,市场秩序与竞争监管,ai,《合同》规范商品交易秩序。
《2009中国最具投资潜力商业地产项目》,*商业地产评选活动*,ai,《最具投资潜力商业地产项目》评选活动。
《2009年西安杨森产品特殊陈列协议书》,市场秩序与竞争监管,ai,医药企业与医院特殊陈列协议涉商业促销。
《2011“辉克耀夜”圣诞晚会活动计划》,其他,ai,仅为活动计划标题，无法体现违法行为。
《2012年前三季度中国饮料行业运行状况分析报告》,其他,ai,《报告》为行业分析文件，无违规内容。
《2012年北京市流通领域商品质量检测-成人服装抽样细则》,产品质量与安全,ai,《商品质量检测》成人服装抽检规范相关。
《2013年朝阳市汽、柴油商品质量监督抽查实施方案》,产品质量与安全,ai,涉及汽柴油商品质量监督抽查。
《2014年度“生工生物全基因合成促销活动”获知单》,市场秩序与竞争监管,ai,促销活动“获知单”疑涉宣传问题。
《2014年度奥马冰箱区域代理协议》,市场秩序与竞争监管,ai,商品区域代理协议，涉市场经营秩序。
《2014年汽车用品商品质量检验结果通知书》,产品质量与安全,ai,涉及汽车用品商品质量检验结果。
《2015年1月16号记账凭证》,财税与金融监管,ai,与记账凭证相关属会计行为。
《2015年3月76号记账凭证》,财税与金融监管,ai,涉及记账凭证管理的会计问题。
《2015年度企业年度报告书》,市场主体与登记治理,ai,《企业年度报告书》属信息公示义务。
《2015年流通环节商品质量抽样取证检验结果通知书》,产品质量与安全,ai,商品质量抽检不合格，属产品质量问题。
《2015年销售费用三栏式明细账账页》,财税与金融监管,ai,涉及销售费用明细账账页管理规范。
《2016年9月第0921号记账凭证》,财税与金融监管,ai,记账凭证属于会计核算范畴。
《2016年年度报告》,市场主体与登记治理,ai,《年度报告》属于企业公示信息。
《2017年3月份考勤表》,劳动保障,ai,考勤表涉及考勤管理与用工制度。
《2017年4月份员工名册》,劳动保障,ai,《员工名册》涉及用工与劳动管理。
《2017年年度报告》,市场主体与登记治理,ai,《年度报告》属企业信息公示义务。
《2017年度企业报告书》,市场主体与登记治理,ai,《企业年度报告书》属于信息公示义务。
《2017年清理长期停业未经营企业工作方案》,市场主体与登记治理,ai,规范长期停业未经营企业清理。
《2017年第四季度成品油质量监督抽查实施细则》,产品质量与安全,ai,成品油质量监督抽查，属产品质量。
《2018-2019连续两年未年报企业名单电话记录簿》,市场主体与登记治理,ai,涉及企业连续两年未年报情形。
《2018.5-2022.3融园商铺电费结算汇总》,市场秩序与竞争监管,ai,《电费结算汇总》体现电价收费问题。
《2018年年度报告》,市场主体与登记治理,ai,《年度报告》属于企业信息公示义务。
《2018年至今购销情况说明》,财税与金融监管,ai,涉及购销情况说明属财务账务内容。
《2019年休闲装监督抽查实施规范》,产品质量与安全,ai,监督抽查休闲装质量，属产品质量。
《2019年年度报告》,市场主体与登记治理,ai,涉及年度报告信息公示义务。
《2019年度摆臂、积放段、斜带机、加速段设备购销合同》,建设工程与房地产,ai,涉及设备购销合同，属工程采购。
《2019年辽宁省成品油市场监督检查工作实施方案》,安全生产,ai,成品油属危化品，涉及安全监管。
《2020年-2022年取水量台账表》,环境保护,ai,取水量台账涉及水资源取用管理。
《2020年06月17日,其他,ai,仅有日期信息，无法判断具体类型。
《2020年07月08日11时20分,其他,ai,条文内容缺失，无法判断具体类型。
《2020年双随机检查盲样考核结果表》,统计相关,ai,双随机检查盲样考核，属统计监督。
《2020年各季度上网电量及时均上网电量》,统计相关,ai,与电力统计数据及统计管理相关。
《2020年度销售明细》,财税与金融监管,ai,《销售明细》属财务会计资料。
《2020年收费明细表》,市场秩序与竞争监管,ai,以收费明细表为核心内容。
《2020年管理评审输入报告(1)内、外部审核结果的汇报》,*企业管理评审*,ai,仅为管理评审报告标题，无执法内容。
《2020年管理评审输入报告(3)以往管理评审的跟踪措施执行情况》,其他,ai,仅为报告名称，无法对应具体类别。
《2020年管理评审输入报告(7)应对风险和机遇所采取措施的有效性》,其他,ai,文件为内部管理评审报告，无违法内容。
《2020年管理评审输入报告(8)供应商评估总结报告》,其他,ai,仅为内部管理评审报告标题，无违法内容。
《2020年装配24组第39周计划》,其他,ai,仅为生产周计划名称，无违法内容。
《2020年装配51&52组第37周计划》,*企业内部计划管理*,ai,《装配…周计划》属内部生产计划管理。
《2021.05.01-2022.03.28与2023.04.01-2023.05.31考勤汇总表》,劳动保障,ai,与职工考勤汇总表相关，用工管理问题。
《2021年1月31日第3号凭证》,其他,ai,仅有凭证编号，无具体违法内容。
《2021年1月第35号凭证》,其他,ai,仅凭“凭证”名称无法判断具体类型。
《2021年2月1日第4号凭证》,其他,ai,仅有凭证编号，无具体案情内容。
《2021年2月第34号凭证》,其他,ai,凭证仅编号无内容，无法判断。
《2021年3月31日第4号凭证》,其他,ai,仅有凭证编号，无具体案情内容。
《2021年3月第37号凭证》,其他,ai,仅凭凭证名称，无具体案由信息。
《2021年4月第35号凭证》,其他,ai,凭证仅有编号，无具体违法内容。
《2021年6月30日第3号凭证》,其他,ai,凭证内容缺失，无法对应具体门类。
《2021年6月第40号凭证》,其他,ai,仅有凭证编号，无具体法条内容。
《2021年各季度上网电量及时均上网电量》,*电力行业管理*,ai,《上网电量》电力运行管理规范相关。
《2021年度企业年度报告书》,市场主体与登记治理,ai,涉及企业年度报告信息公示问题。
《2021年至2023年产品销售成本明细账账页》,财税与金融监管,ai,涉及产品销售成本明细账页管理。
《2021年至2023年原材料明细账账页》,财税与金融监管,ai,涉及原材料明细账账页管理问题。
《2021年至2023年生产成本明细账账页》,财税与金融监管,ai,涉及生产成本明细账及账页管理。
《2022.03.29-2023.03.31考勤汇总表》,劳动保障,ai,考勤汇总涉及劳动用工与考勤管理。
《2022年10月31日第4号凭证》,其他,ai,仅有凭证名称，无实质条文内容。
