legal_articles,legal_violation_categories,violation_keywords,reason_ai
《昆明市生态环境局关于印发容错纠错柔性执法“五张清单”的通知中不予处罚事项清单适用情形：未建立固体废物管理台帐并如实记录,不予处罚||环境保护,不予处罚||环境||生态||生态环境,
《广东省生态环境不予行政处罚的轻微违法行为目录》第6项,不予处罚||环境保护,不予处罚||环境||生态||环境违法||生态环境,
《长江三角洲区域生态环境领域轻微违法行为依法不予行政处罚清单》,不予处罚||环境保护,不予处罚||环境||生态||环境违法||生态环境,
《中华人民共和国反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条及二十五条之规定,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条“经营者违反本法第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款的规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款及,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款、,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款;行政处罚内容:1.罚款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条和第二十五条的规定,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十六条的规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《关于审理不正当竞争民事案件应用法律若干问题的解释》第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十六条“经营者违反本法第十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十六条:“经营者违反本法第十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十六条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十六条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十五条,不正当竞争/商业贿赂,不正当竞争||竞争,
