original_article,cleaned_article,change_description,legal_violation_categories
《中华人民共和国反不正当竞争法》第二十四条第一款的规定依据,《中华人民共和国反不正当竞争法》第二十四条第一款的规定,"截断后缀""依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款和,《中华人民共和国反不正当竞争法》第二十四条第一款,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款及,《中华人民共和国反不正当竞争法》第二十四条第一款,"截断后缀""及""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款、,《中华人民共和国反不正当竞争法》第二十四条第一款,"截断后缀""、""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款;行政处罚内容:1.罚款,《中华人民共和国反不正当竞争法》第二十四条第一款,"截断后缀"";行政处罚内容:1.罚款""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十六条的规定依据,《中华人民共和国反不正当竞争法》第二十六条的规定,"截断后缀""依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条和国家工商局,《中华人民共和国反不正当竞争法》第二十二条,"截断后缀""和国家工商局""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条和,《中华人民共和国反不正当竞争法》第二十二条,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条、,《中华人民共和国反不正当竞争法》第二十二条,"截断后缀""、""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第二十条和第二十五条的规定,经研究决定对当事人处罚款",《中华人民共和国反不正当竞争法》第二十条和第二十五条的规定,"截断后缀"",经研究决定对当事人处罚款""",不正当竞争/商业贿赂
根据《中华人民共和国反不正当竞争法》第二十条第一款,《中华人民共和国反不正当竞争法》第二十条第一款,"去除前缀""根据""",不正当竞争/商业贿赂
依据《黑龙江省反不正当竞争条例》第二十九条第一款第一项,《黑龙江省反不正当竞争条例》第二十九条第一款第一项,"去除前缀""依据""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第五条,",《中华人民共和国反不正当竞争法》第五条,"截断后缀"",""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第二十条第一款,",《中华人民共和国反不正当竞争法》第二十条第一款,"截断后缀"",""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第8条、以及,《中华人民共和国反不正当竞争法》第8条,"截断后缀""、以及""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第8条、,《中华人民共和国反不正当竞争法》第8条,"截断后缀""、""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第6条、,《中华人民共和国反不正当竞争法》第6条,"截断后缀""、""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第二十三条,",《中华人民共和国反不正当竞争法》第二十三条,"截断后缀"",""",不正当竞争/商业贿赂
《中华人民共和国反不正当竟争法》第十三条三项,《中华人民共和国反不正当竟争法》第十三条,"截断后缀""三项""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十一条第一款和,《中华人民共和国反不正当竞争法》第二十一条第一款,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十一条第一款、,《中华人民共和国反不正当竞争法》第二十一条第一款,"截断后缀""、""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十一条及,《中华人民共和国反不正当竞争法》第二十一条,"截断后缀""及""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条第一款规定依据,《中华人民共和国反不正当竞争法》第九条第一款,"截断后缀""规定依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条第一款的规定依据,《中华人民共和国反不正当竞争法》第九条第一款的规定,"截断后缀""依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条第一款和,《中华人民共和国反不正当竞争法》第九条第一款,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条第一款之规定依据,《中华人民共和国反不正当竞争法》第九条第一款之规定,"截断后缀""依据""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第九条第一款,",《中华人民共和国反不正当竞争法》第九条第一款,"截断后缀"",""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条之规定依据,《中华人民共和国反不正当竞争法》第九条之规定,"截断后缀""依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条一款,《中华人民共和国反不正当竞争法》第九条,"截断后缀""一款""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第十二条和,《中华人民共和国反不正当竞争法》第十二条,"截断后缀""和""",不正当竞争/商业贿赂
《反不正当竞争法》第二十二条和,《反不正当竞争法》第二十二条,"截断后缀""和""",不正当竞争/商业贿赂
《福建省实施〈中华人民共和国反不正当竞争法〉办法》第十五条和,《福建省实施〈中华人民共和国反不正当竞争法〉办法》第十五条,"截断后缀""和""",不正当竞争/商业贿赂
《反不正当竞争法》第六条和,《反不正当竞争法》第六条,"截断后缀""和""",不正当竞争/商业贿赂
《反不正当竞争法》第六条及,《反不正当竞争法》第六条,"截断后缀""及""",不正当竞争/商业贿赂
《反不正当竞争法》第八条第一款和,《反不正当竞争法》第八条第一款,"截断后缀""和""",不正当竞争/商业贿赂
《反不正当竞争法》第八条第一款及,《反不正当竞争法》第八条第一款,"截断后缀""及""",不正当竞争/商业贿赂
《反不正当竞争法》第八条国家工商行政管理局,《反不正当竞争法》第八条,"截断后缀""国家工商行政管理局""",不正当竞争/商业贿赂
《湖北省反不正当竞争条例》第二十六条“违反本条,《湖北省反不正当竞争条例》第二十六条,"截断后缀""“违反本条""",不正当竞争/商业贿赂
《湖北省反不正当竞争条例》第二十七条第三项之规定：“违反本条,《湖北省反不正当竞争条例》第二十七条第三项之规定,"截断后缀""：“违反本条""",不正当竞争/商业贿赂
《湖北省反不正当竞争条例》第二十七条“违反本条,《湖北省反不正当竞争条例》第二十七条,"截断后缀""“违反本条""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款和国家工商局,《中华人民共和国反不正当竞争法》第八条第一款,"截断后缀""和国家工商局""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款和,《中华人民共和国反不正当竞争法》第八条第一款,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款及,《中华人民共和国反不正当竞争法》第八条第一款,"截断后缀""及""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款之规定依据,《中华人民共和国反不正当竞争法》第八条第一款之规定,"截断后缀""依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款、,《中华人民共和国反不正当竞争法》第八条第一款,"截断后缀""、""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第八条第一款,",《中华人民共和国反不正当竞争法》第八条第一款,"截断后缀"",""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条和,《中华人民共和国反不正当竞争法》第八条,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条及,《中华人民共和国反不正当竞争法》第八条,"截断后缀""及""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条、,《中华人民共和国反不正当竞争法》第八条,"截断后缀""、""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款的规定依据,《中华人民共和国反不正当竞争法》第八条第一款的规定,"截断后缀""依据""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第一款规定依据,《中华人民共和国反不正当竞争法》第八条第一款,"截断后缀""规定依据""",不正当竞争/商业贿赂
"《反不正当竞争法》第二十三条,",《反不正当竞争法》第二十三条,"截断后缀"",""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第十三条及,《中华人民共和国反不正当竞争法》第十三条,"截断后缀""及""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第六条和关于,《中华人民共和国反不正当竞争法》第六条,"截断后缀""和关于""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第六条和,《中华人民共和国反不正当竞争法》第六条,"截断后缀""和""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第六条及,《中华人民共和国反不正当竞争法》第六条,"截断后缀""及""",不正当竞争/商业贿赂
"《中华人民共和国反不正当竞争法》第六条,",《中华人民共和国反不正当竞争法》第六条,"截断后缀"",""",不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第八条第（一）款、,《中华人民共和国反不正当竞争法》第八条第（一）款,"截断后缀""、""",不正当竞争/商业贿赂
