legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十六条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十四条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十条和第二十五条的规定,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第五条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第8条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第8条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第24条第1款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十三条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十三条,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十一条第二款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十一条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第二十一条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
《中华人民共和国反不正当竞争法》第九条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,False,(匹配)市场秩序与竞争监管,,不正当竞争/商业贿赂
