legal_articles,old_category,new_category,rule_applied
《出租汽车驾驶员从业资格管理规定》第十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车客运经营资格证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《上海市公共汽车和电车客运管理条例》第四十九条第一款第六项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《采集的车辆照片》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《机动车驾驶员培训备案表》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《机动车驾驶证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《李钦全车辆在公路上擅自超限行驶（车货总质量超限）行政处罚决定书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《广州市巡游出租汽车客运管理条例》第二十六条第（五）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江睡城市道路管理办法》第三十六条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《福州市客运出租汽车管理办法》第十八条第一项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市临安区人民政府关于划定禁止使用高排放非道路移动机械区域的通告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《上海市公共汽车和电车客运管理条例》第三十条第三款第四项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《2018年全省道路客运、货运行业安保工作第三方暗查结果通报（第一期）》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《福州市客运出租汽车管理办法》第二十四条第九项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《机动车驾驶培训许可证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《上海市公共汽车和电车客运管理条例》第三十条第三款第一项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《上海市公共汽车和电车客运管理条例》第三十条第三款第一项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《普通公路车辆路面动态检测技术监控现场检测信息单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《吉林省城市公共客运管理条例》第四十六条第(八)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《电镀、车辆配件生产项目自查评估报告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《吉林省城市公共客运管理条例》第三十四条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《吉林省交通行政处罚裁量规则》第十三条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《古蔺东区客运站班车营收结算单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《盐城大丰丰捷物流有限公司“2.28”一般高处坠落事故调查报告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《盐城市大丰区人民政府关于盐城大丰丰捷物流有限公司“2.28”一般高处坠落事故调查报告的批复》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《上海市公共汽车和电车客运管理条例》第三十条第三款第三项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《湖北省汽车客运站收费项目及标准表》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《北京市交通委员会关于暂停出租汽车在丰台区运营有关事宜的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《海南经济特区机动车辆通行附加费征收管理条例》第九条的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《当事人驾驶证复印件》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《当事人驾驶证照片》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《江苏省苏南运河交通管理办法》第十三条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《江苏省内河交通管理条例》第三十条第二款,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《汕头经济特区城市公共汽车交通条例》第二十九条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《汕头经济特区城市公共汽车交通条例》第三十三条第六项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《佛山市高明合顺气体有限公司车辆进出放行单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《汕头经济特区城市公共汽车交通条例》第三十三条第一项至第六项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《温州市龙湾区综合行政执法局城市道路挖掘许可证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《汕头经济特区出租汽车客运条例》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《余姚市人民政府关于余姚市红日机械有限公司“3.28”一般车辆伤害事故调查报告的批复》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第二十一条第(八)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《挖掘道路许可证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《教学车辆证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《整治公路货车违法超限超载行为专项行动方案》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《案件线索内部移交通知书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《松原市“10.4”重大道路交通事故调查组调查报告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市水上交通管理条例》第四十二条第（一）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《现场车辆照片》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市水上交通管理条例》第二十一条第二款,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第十四条第(五)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第十七条第（五）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第二十三条第二款,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第二十一条第(十一)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《海南经济特区机动车辆通行附加费征收管理条例》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《开县发展改革委开县交通局关于进一步规范我县境内农村公路班车客运票价的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《广州市巡游出租汽车客运管理条例》第二十六条第（二）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十三条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十三条第三项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十二条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十四条第一款第（一）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十四条第（二）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十条第一款第九项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《动态公路车辆自动衡器检定规程》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《物流管理服务合同》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《北京市交通委员会行政处罚决定书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第三十六条第(一)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第三十六条第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《班线客车经济责任考核合同》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《广州市治理车辆超限超载工作协调小组办公室关于抄告2021年6月份超限车辆在广州市违法情况的函》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第三十条第一款第(九)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第三十条第一款第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第三十条第一款第（五）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《全国道路货运车辆公共监管与服务平台》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《南宁市城市轨道交通管理条例》第二十二条第一款第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《南宁市城市轨道交通管理条例》第二十二条第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《南宁市出租汽车客运管理条例》第二十二条第二项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《南宁市临时占用挖掘城市道路管理办法》第五条第三款的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《南宁市临时占用挖掘城市道路管理办法》第五条第三款,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《道路机动车辆生产企业及产品公告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《班车客运定制服务操作指南》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《杭州市客运出租汽车管理条例》第三十条第一款第(七)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《广州市巡游出租汽车客运管理条例》第二十六条第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第三十六条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《驾驶证复印件》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙 江省城市道路管理办法》第二十七条第（四）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《济南市莱芜区济莱高铁莱芜段林家隧道“8·13”一般车辆伤害事故调查报告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《济南市客运出租汽车管理条例》第二十二条第(一)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第(五)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于近期对客运车辆GPS抽查情况通报》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《泉州市营运车辆技术等级评定和二级维护备案记录表》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于进一步加强车辆超限超载集中治理工作的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于道路客运行业暗查暗访情况的通报》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于赣江南昌段水域实施交通管制的航行通告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第(四)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第一款第（四）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于鄱阳湖、赣江水域实施交通管制的航行通告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关在全国开展车辆超限超载治理工作的实施方案》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《河南省交通行政处罚裁量标准》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《广州市公共汽车电车客运管理条例》第三十一条第一款第（二）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第一项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《河北省治理货运车辆超限超载规定》第十九条第一项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《河北省治理货运车辆超限超载规定》第十九条第一款,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《河北省治理货运车辆超限超载规定》第十九条的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第一款第(一)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于贵CT3995等9辆旅游客车长期非法从事省际客运班线经营的情况反映》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于调整全市道路客运票价的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于西青区“12。21”较大道路交通事故源头倒查相关情况通报的函》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第三十六条“违反本办法第二十七条、第二十八条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第三十六条之规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于开展道路客运打非治违工作的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第三十六条的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于建立“两客一危一货重点车辆管控联合惩戒工作机制的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于我县辖区货车违法超载有关情况通报》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于推进货车超限超载治理工作落实源头惩戒措施》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
