legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category
《100102回风巷掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1020D回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1021上下运掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1026回风巷（炮掘）作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《10503综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《10700回采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《10709中面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《11012采面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《111501复采回风巷掘进作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1121采煤工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《113上05综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《11503采煤工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《11505综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《11602采煤工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1200泄水巷掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1303工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1305综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1308综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1319综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《132621(外)综采工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1404回风巷掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《172402运料石门掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《172404综放工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《174401里综采工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《1905回采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《2012年北京市流通领域商品质量检测-成人服装抽样细则》,产品质量,商品质量,False,,从removed恢复: 匹配关键词 商品质量,产品质量
《2013年朝阳市汽、柴油商品质量监督抽查实施方案》,产品质量,商品质量,False,,从removed恢复: 匹配关键词 商品质量,产品质量
《2014年汽车用品商品质量检验结果通知书》,产品质量,商品质量,False,,从removed恢复: 匹配关键词 商品质量,产品质量
《2015年流通环节商品质量抽样取证检验结果通知书》,产品质量,商品质量,False,,从removed恢复: 匹配关键词 商品质量,产品质量
《2017年清理长期停业未经营企业工作方案》,未开业/自行停业,清理长期停业,False,,从removed恢复: 匹配关键词 清理长期停业,未开业/自行停业
《2017年第四季度成品油质量监督抽查实施细则》,产品质量,成品油质量监督抽查,False,,从removed恢复: 匹配关键词 成品油质量监督抽查,产品质量
《20316主运、辅运顺槽掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《20316主运顺槽掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《21310综采工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《221513综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《221517综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《2305综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《27316上顺槽掘进作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《27316上顺槽措施巷作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《27316下顺槽措施巷作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《30218综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3131综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3199采煤工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3202综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3204回撤通道掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《32K13综采工作面外切眼安装作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3308综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3309综放工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3401综采工作面回采作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《3404采煤工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《401106回采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《401110回风顺槽掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《402101掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《40307工作面回风顺槽掘进作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《40307胶带顺槽掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《4110综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《4302综放工作面采煤作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《4316综放工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《50106回撤通道掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《504主运顺槽掘进工作面扩帮作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《5108上分层回风顺槽作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《5108主运顺槽掘进作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《51101综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《56902运料道掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《60306采煤工作面作业规程》第四节第七项,安全生产,作业规程,False,,"从removed恢复: 匹配关键词 作业规程, 清洗: 截断后缀""、""",安全生产
《6105作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《61701回风巷掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《7317综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《8101运中巷掘进工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《8302东工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《8310工作面联络巷作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《8310综采工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《8805采煤工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《916上03工作面作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《9704低抽巷作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《9800皮带巷作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《C8315轨顺回迎掘进作业规程》,安全生产,作业规程,False,,从removed恢复: 匹配关键词 作业规程,安全生产
《GB/T 22106-2008 非发酵豆制品》,产品质量,GB/T,False,,从removed恢复: 匹配关键词 GB/T,产品质量
